id,end_date,extra_amount,subscription_fee,deposit_amount,sequence,sl_no,start_date
__export__.member_payment_structure_1_4a6e1881,2009-11-30,20000,10,1000,10,1,2006-10-17
__export__.member_payment_structure_7_398c3128,2009-12-31,12500,10,2000,11,2,2009-12-01
__export__.member_payment_structure_8_40b783cd,2010-12-31,0,10,1000,12,3,2010-01-01
__export__.member_payment_structure_11_8d9c53be,2011-06-30,0,10,2000,13,4,2011-01-01
__export__.member_payment_structure_12_a89f639c,2011-12-31,0,20,2000,14,5,2011-07-01
__export__.member_payment_structure_13_1981e8a7,2015-12-31,5000,20,2000,15,6,2012-01-01
__export__.member_payment_structure_15_394dcbb8,2017-08-31,0,100,2000,16,7,2016-01-01
__export__.member_payment_structure_16_b1d0ca53,2020-02-28,0,100,3000,17,8,2017-09-01
__export__.member_payment_structure_17_8438635a,2023-12-31,0,100,1000,18,9,2020-03-01
__export__.member_deposit_structure_18_6d97c5de,2024-11-30,0,100,2000,19,10,2024-01-01
