"id","end_date","extra_amount","subscription_fee","deposit_amount","sequence","sl_no","start_date"
"__export__.member_payment_structure_1_4a6e1881","2009-11-30","0.0","10.0","1000.0","10","1","2006-10-17"
"__export__.member_payment_structure_2_0f5e8dac","2007-03-30","2500.0","0.0","0.0","11","2","2007-03-01"
"__export__.member_payment_structure_4_691f3e81","2007-07-31","2500.0","0.0","0.0","12","3","2007-07-01"
"__export__.member_payment_structure_3_f4c24fc7","2007-09-30","10000.0","0.0","0.0","13","4","2007-09-01"
"__export__.member_payment_structure_5_752646cb","2008-06-30","2500.0","0.0","0.0","14","5","2008-06-01"
"__export__.member_payment_structure_6_667944bc","2008-10-31","2500.0","0.0","0.0","15","6","2008-10-01"
"__export__.member_payment_structure_7_398c3128","2009-12-31","0.0","10.0","2000.0","16","7","2009-12-01"
"__export__.member_payment_structure_9_778e2459","2009-01-31","2500.0","0.0","0.0","17","8","2009-01-01"
"__export__.member_payment_structure_10_90d29ef1","2009-12-31","10000.0","0.0","0.0","18","9","2009-12-01"
"__export__.member_payment_structure_8_40b783cd","2010-12-31","0.0","10.0","1000.0","19","10","2010-01-01"
"__export__.member_payment_structure_11_8d9c53be","2011-06-30","0.0","10.0","2000.0","20","11","2011-01-01"
"__export__.member_payment_structure_12_a89f639c","2011-12-31","0.0","20.0","2000.0","21","12","2011-07-01"
"__export__.member_payment_structure_14_1acecc26","2013-12-31","5000.0","0.0","0.0","22","13","2013-12-01"
"__export__.member_payment_structure_13_1981e8a7","2015-12-31","0.0","20.0","2000.0","23","14","2012-01-01"
"__export__.member_payment_structure_15_394dcbb8","2017-08-31","0.0","100.0","2000.0","24","15","2016-01-01"
"__export__.member_payment_structure_16_b1d0ca53","2020-02-28","0.0","100.0","3000.0","24","16","2017-09-01"
"__export__.member_payment_structure_17_8438635a","2024-12-31","0.0","100.0","1000.0","24","17","2020-03-01"
"__export__.member_deposit_structure_18_6d97c5de","2024-11-30","0.0","100.0","2000.0","27","18","2024-01-01"
